zip,lat,lon
46011,40.130099,-85.760763
46016,40.097821,-85.681485
46032,39.966569,-86.175131
46036,40.296875,-85.832902
46037,39.962809,-85.943916
46041,40.295035,-86.493864
46072,40.28526,-86.068828
46122,39.777144,-86.551807
46123,39.764437,-86.403388
46202,39.7841,-86.161616
46256,39.908383,-86.013138
46278,39.892944,-86.298055
46307,41.40206,-87.325371
46383,41.457895,-87.002008
46402,41.61783,-87.337827
46410,41.482028,-87.334679
46506,41.462622,-86.1724
46514,41.722679,-85.974999
46526,41.558788,-85.87665
46534,41.285345,-86.617818
46562,41.208342,-85.684902
46601,41.670274,-86.252661
46706,41.341594,-85.032655
46725,41.153386,-85.47415
46733,40.83052,-84.939705
46750,40.876437,-85.497441
46755,41.449152,-85.275111
46761,41.634364,-85.377512
46845,41.212012,-85.108798
46947,40.760974,-86.373099
46952,40.599427,-85.629225
46992,40.784517,-85.830509
47025,39.153346,-84.874001
47150,38.283804,-85.847721
47167,38.60699,-86.093464
47170,38.685201,-85.844056
47240,39.306027,-85.478417
47250,38.811483,-85.362137
47265,39.008555,-85.627378
47274,38.966218,-85.925728
47303,40.271643,-85.377772
47371,40.419044,-84.962812
47394,40.167974,-84.987308
47403,39.085219,-86.61234
47421,38.863494,-86.45223
47441,39.039441,-87.174106
47454,38.510025,-86.451821
47546,38.418741,-86.9326
47586,38.036352,-86.693738
47591,38.628561,-87.501485
47601,38.051443,-87.254533
47630,37.952897,-87.34647
47670,38.346347,-87.57818
47804,39.497817,-87.390537
47834,39.523629,-87.123313
47842,39.678173,-87.453638
47905,40.421886,-86.763599
47906,40.479649,-86.989218
47960,40.788336,-86.751934
47993,40.309014,-87.412707
90015,34.039309,-118.266255
90017,34.053098,-118.264505
90023,34.022502,-118.199613
90026,34.078991,-118.263804
90027,34.127603,-118.296381
90028,34.099811,-118.326837
90033,34.05038,-118.211991
90034,34.030578,-118.399613
90048,34.072877,-118.372655
90059,33.927469,-118.248796
90241,33.940582,-118.129472
90242,33.921793,-118.140588
90247,33.891769,-118.297006
90255,33.979248,-118.217438
90262,33.923831,-118.201352
90292,33.976078,-118.452066
90301,33.956464,-118.358681
90404,34.026649,-118.473835
90503,33.839463,-118.353699
90623,33.850616,-118.039565
90650,33.90779,-118.082487
90703,33.867745,-118.069471
90710,33.798905,-118.300239
90712,33.849034,-118.147902
90720,33.795012,-118.062692
90732,33.737321,-118.313433
90806,33.80887,-118.178486
90813,33.782259,-118.196793
91007,34.128284,-118.047732
91204,34.135557,-118.26094
91206,34.160359,-118.213769
91208,34.185665,-118.239497
91307,34.200485,-118.664852
91325,34.237519,-118.517712
91342,34.326584,-118.382261
91356,34.154999,-118.547559
91360,34.213305,-118.874135
91367,34.177311,-118.615704
91402,34.222506,-118.444689
91403,34.147757,-118.464738
91405,34.202494,-118.448048
91436,34.149588,-118.489708
91505,34.175833,-118.347536
91706,34.09741,-117.968269
91710,34.005097,-117.682525
91740,34.119367,-117.855054
91763,34.07206,-117.698288
91767,34.083086,-117.737997
91773,34.107485,-117.808752
91942,32.777267,-117.021344
91950,32.669067,-117.093487
92037,32.854642,-117.251772
92078,33.117065,-117.180807
92103,32.747816,-117.167332
92120,32.793994,-117.073796
92123,32.809615,-117.134201
92201,33.709453,-116.236967
92220,33.939919,-116.839331
92252,34.147976,-116.284218
92262,33.862959,-116.556682
92307,34.571231,-117.133092
92315,34.21713,-116.941614
92324,34.025186,-117.288849
92335,34.087333,-117.465158
92352,34.267686,-117.186721
92354,34.050788,-117.250153
92395,34.504828,-117.298985
92404,34.178633,-117.238926
92411,34.122809,-117.325808
92501,33.996523,-117.374179
92503,33.882884,-117.451725
92505,33.926666,-117.492804
92543,33.698645,-116.979161
92555,33.910996,-117.113765
92562,33.53124,-117.343999
92563,33.580016,-117.14736
92585,33.742167,-117.167238
92592,33.510939,-117.021505
92627,33.648112,-117.921203
92647,33.723228,-118.008692
92653,33.594012,-117.700734
92663,33.625204,-117.928767
92691,33.611945,-117.665867
92704,33.721131,-117.90511
92705,33.766007,-117.786763
92708,33.710582,-117.951129
92804,33.81801,-117.975193
92805,33.830053,-117.905683
92806,33.83796,-117.870494
92835,33.900573,-117.914667
92843,33.763963,-117.931538
92866,33.784537,-117.844791
92868,33.787967,-117.876343
92869,33.795479,-117.764943
92870,33.881158,-117.854783
92882,33.862874,-117.600092
93030,34.205097,-119.17532
93105,34.52904,-119.767895
93111,34.449185,-119.804782
93230,36.29223,-119.622676
93257,35.980858,-118.889315
93291,36.391777,-119.372842
93301,35.384336,-119.020562
93308,35.547493,-118.946868
93401,35.235871,-120.615914
93454,34.923013,-120.259463
93463,34.606422,-120.135431
93534,34.71766,-118.15232
93545,36.610541,-118.026281
93552,34.583523,-118.027343
93555,35.582384,-117.683597
93611,36.826668,-119.680572
93635,37.020187,-120.8817
93636,36.984877,-119.877519
93654,36.658709,-119.401274
93710,36.824105,-119.76271
93720,36.862209,-119.760793
93721,36.732808,-119.783829
93940,36.562305,-121.805507
94010,37.571918,-122.375028
94040,37.380272,-122.085221
94062,37.422531,-122.28582
94063,37.493306,-122.195606
94080,37.655175,-122.418384
94109,37.794485,-122.42227
94110,37.750021,-122.415201
94115,37.786029,-122.437366
94116,37.745399,-122.486065
94117,37.770051,-122.44428
94305,37.418256,-122.170871
94403,37.538449,-122.305447
94509,37.992003,-121.812566
94531,37.956648,-121.77779
94533,38.280745,-122.00638
94538,37.501368,-121.956753
94546,37.745399,-122.103127
94558,38.389135,-122.188412
94577,37.716659,-122.169274
94578,37.706765,-122.125565
94583,37.771693,-121.989829
94588,37.792648,-121.862807
94589,38.141467,-122.24687
94596,37.889009,-122.036778
94609,37.834816,-122.264195
94611,37.831917,-122.215793
94705,37.865205,-122.238384
94903,38.02213,-122.55881
94904,37.947225,-122.551775
94945,38.122687,-122.553142
94954,38.23501,-122.557369
95051,37.348311,-121.984435
95065,37.032242,-121.984402
95076,36.945781,-121.756058
95119,37.226971,-121.788682
95124,37.256831,-121.922815
95203,37.954302,-121.32932
95204,37.973736,-121.319246
95231,37.873793,-121.290146
95240,38.123544,-121.159078
95249,38.18995,-120.619555
95336,37.830267,-121.20102
95337,37.743039,-121.23838
95340,37.340087,-120.406406
95350,37.67173,-121.007285
95355,37.672906,-120.946594
95370,37.984401,-120.348066
95376,37.736819,-121.433998
95382,37.527558,-120.851106
95403,38.503685,-122.754057
95405,38.438136,-122.669057
95448,38.622985,-122.889121
95501,40.80201,-124.144824
95521,40.843356,-124.045334
95531,41.862668,-124.130542
95540,40.566787,-124.125976
95603,38.911346,-121.08576
95608,38.626935,-121.331191
95616,38.554147,-121.798514
95630,38.662781,-121.140107
95642,38.343506,-120.763948
95661,38.741274,-121.249266
95688,38.421343,-122.030124
95695,38.694038,-121.852932
95816,38.575407,-121.464803
95817,38.550605,-121.457026
95819,38.566862,-121.437563
95823,38.474726,-121.442636
95825,38.591897,-121.408467
95826,38.543848,-121.378284
95901,39.223939,-121.49405
95926,39.74577,-121.843938
95945,39.193267,-120.980122
95991,39.015503,-121.611202
96001,40.577176,-122.454715
96067,41.316888,-122.317447
96080,40.16538,-122.441718
96093,40.765478,-122.941428
96122,39.820738,-120.47627
96130,40.549051,-120.634032
